date,Conflict,Disaster,Fund,Political/Social Unrest,Water Insecurity
20130701,0.0,1.0,0.0,0.0,0.0
20130715,1.0,0.0,0.0,0.0,0.0
20130716,1.0,0.0,0.0,0.0,0.0
20130717,1.0,0.0,0.0,0.0,0.0
20130801,1.0,0.0,0.0,1.0,0.0
20130813,2.0,0.0,0.0,0.0,0.0
20130814,1.0,0.0,0.0,1.0,0.0
20130920,0.0,0.0,0.0,1.0,0.0
20130923,1.0,0.0,0.0,0.0,0.0
20131009,0.0,1.0,0.0,0.0,0.0
20131025,0.0,0.0,0.0,1.0,0.0
20131104,0.0,0.0,0.0,1.0,0.0
20131105,2.0,0.0,0.0,0.0,0.0
20131111,1.0,0.0,0.0,0.0,0.0
20131113,1.0,0.0,0.0,0.0,0.0
20131129,0.0,0.0,0.0,1.0,0.0
20131202,0.0,0.0,0.0,1.0,1.0
20131203,0.0,0.0,0.0,1.0,0.0
20131230,0.0,0.0,0.0,1.0,0.0
20131231,2.0,0.0,0.0,0.0,0.0
20140616,1.0,0.0,0.0,0.0,0.0
20140707,0.0,0.0,1.0,0.0,0.0
20140716,0.0,0.0,0.0,0.0,1.0
20140812,0.0,1.0,0.0,0.0,0.0
20140826,0.0,0.0,0.0,0.0,1.0
20140929,0.0,1.0,0.0,0.0,0.0
20141103,1.0,0.0,0.0,0.0,0.0
20141104,1.0,0.0,0.0,0.0,0.0
20141230,1.0,0.0,0.0,0.0,0.0
