date,Conflict,Disaster,Disease,Water Insecurity
20130717,1.0,0.0,0.0,0.0
20130726,0.0,1.0,0.0,0.0
20130930,1.0,0.0,0.0,0.0
20131018,1.0,0.0,0.0,0.0
20131024,1.0,0.0,0.0,0.0
20131113,0.0,1.0,0.0,0.0
20131204,0.0,0.0,0.0,1.0
20131219,1.0,0.0,0.0,0.0
20131231,0.0,1.0,0.0,0.0
20140728,1.0,0.0,0.0,0.0
20140730,0.0,0.0,1.0,0.0
20140807,1.0,0.0,0.0,1.0
20140815,1.0,0.0,0.0,0.0
20140828,1.0,0.0,0.0,0.0
20140909,1.0,0.0,0.0,0.0
20141007,1.0,0.0,1.0,0.0
20141014,0.0,1.0,0.0,0.0
20141020,1.0,0.0,0.0,0.0
20141202,1.0,0.0,0.0,0.0
20141212,1.0,0.0,0.0,0.0
