date,Conflict,Disaster,Disease,Fund,Political,Water Insecurity
20130624,1.0,1.0,0.0,0.0,0.0,0.0
20130627,0.0,1.0,0.0,1.0,0.0,0.0
20130628,1.0,0.0,0.0,0.0,0.0,0.0
20130701,1.0,0.0,0.0,0.0,0.0,0.0
20130710,0.0,1.0,0.0,0.0,0.0,0.0
20130711,1.0,0.0,0.0,0.0,0.0,0.0
20130712,1.0,0.0,0.0,0.0,0.0,0.0
20130715,2.0,2.0,0.0,0.0,0.0,0.0
20130716,2.0,1.0,0.0,1.0,0.0,0.0
20130718,0.0,1.0,0.0,0.0,0.0,0.0
20130724,2.0,0.0,0.0,0.0,0.0,0.0
20130726,1.0,0.0,0.0,0.0,0.0,0.0
20130729,1.0,1.0,0.0,0.0,0.0,0.0
20130730,1.0,0.0,0.0,0.0,0.0,0.0
20130731,2.0,0.0,0.0,0.0,0.0,0.0
20130801,1.0,0.0,0.0,0.0,0.0,0.0
20130812,1.0,0.0,0.0,0.0,0.0,1.0
20130814,1.0,0.0,0.0,0.0,0.0,0.0
20130815,0.0,1.0,0.0,0.0,0.0,0.0
20130827,2.0,1.0,0.0,0.0,0.0,0.0
20130905,1.0,1.0,0.0,0.0,0.0,0.0
20130906,1.0,0.0,0.0,0.0,0.0,0.0
20130909,1.0,1.0,0.0,0.0,0.0,0.0
20130910,0.0,1.0,0.0,0.0,0.0,0.0
20130911,1.0,0.0,0.0,0.0,0.0,0.0
20130913,3.0,0.0,0.0,0.0,0.0,0.0
20130916,1.0,0.0,0.0,0.0,0.0,0.0
20130919,1.0,0.0,0.0,0.0,0.0,0.0
20130920,2.0,0.0,0.0,0.0,0.0,0.0
20130923,1.0,1.0,0.0,0.0,0.0,0.0
20130926,2.0,0.0,0.0,0.0,0.0,0.0
20130927,2.0,0.0,0.0,0.0,0.0,0.0
20131004,0.0,0.0,0.0,0.0,2.0,0.0
20131008,1.0,0.0,0.0,0.0,0.0,0.0
20131014,1.0,0.0,0.0,0.0,0.0,0.0
20131016,2.0,0.0,0.0,0.0,0.0,0.0
20131017,1.0,0.0,0.0,0.0,0.0,0.0
20131018,2.0,1.0,0.0,0.0,0.0,0.0
20131023,0.0,0.0,0.0,0.0,1.0,0.0
20131024,1.0,0.0,0.0,0.0,0.0,0.0
20131025,2.0,0.0,0.0,0.0,0.0,0.0
20131030,2.0,0.0,0.0,0.0,0.0,0.0
20131031,0.0,0.0,0.0,0.0,1.0,0.0
20131104,3.0,0.0,0.0,0.0,1.0,0.0
20131105,6.0,1.0,0.0,0.0,1.0,0.0
20131106,0.0,0.0,0.0,0.0,1.0,0.0
20131107,2.0,0.0,0.0,0.0,0.0,0.0
20131108,2.0,1.0,0.0,0.0,0.0,0.0
20131111,0.0,0.0,0.0,0.0,1.0,0.0
20131112,1.0,0.0,0.0,0.0,0.0,0.0
20131113,1.0,1.0,0.0,0.0,0.0,0.0
20131120,1.0,0.0,0.0,0.0,0.0,0.0
20131121,1.0,0.0,0.0,0.0,0.0,0.0
20131129,1.0,0.0,0.0,0.0,0.0,0.0
20131203,3.0,0.0,0.0,0.0,0.0,0.0
20131204,0.0,0.0,0.0,1.0,0.0,0.0
20131218,1.0,0.0,0.0,0.0,0.0,0.0
20131230,3.0,0.0,0.0,0.0,1.0,0.0
20131231,3.0,0.0,0.0,0.0,0.0,0.0
20140523,1.0,0.0,0.0,0.0,0.0,0.0
20140606,1.0,1.0,0.0,0.0,0.0,0.0
20140717,1.0,0.0,0.0,0.0,0.0,0.0
20140723,2.0,0.0,0.0,0.0,0.0,0.0
20140806,1.0,0.0,0.0,0.0,0.0,0.0
20140807,0.0,1.0,0.0,0.0,0.0,0.0
20140815,1.0,0.0,0.0,0.0,0.0,0.0
20140822,0.0,0.0,1.0,0.0,0.0,0.0
20140902,1.0,1.0,0.0,0.0,0.0,0.0
20141016,2.0,0.0,0.0,0.0,0.0,0.0
20141020,2.0,1.0,0.0,0.0,0.0,0.0
20141022,1.0,0.0,0.0,0.0,0.0,0.0
20141031,1.0,0.0,0.0,0.0,0.0,0.0
20141103,1.0,0.0,0.0,0.0,0.0,0.0
20141104,1.0,0.0,0.0,0.0,0.0,0.0
20141118,0.0,1.0,0.0,0.0,0.0,0.0
20141124,1.0,0.0,0.0,0.0,0.0,0.0
20141202,1.0,0.0,0.0,0.0,0.0,0.0
20141204,1.0,0.0,0.0,0.0,0.0,0.0
20141205,0.0,1.0,0.0,0.0,0.0,0.0
20141208,1.0,0.0,0.0,0.0,0.0,0.0
20141211,1.0,0.0,0.0,0.0,0.0,0.0
20141212,1.0,0.0,0.0,0.0,0.0,0.0
20141215,1.0,0.0,0.0,0.0,0.0,0.0
20141216,0.0,2.0,0.0,0.0,0.0,0.0
20141217,2.0,0.0,0.0,0.0,0.0,0.0
20141231,0.0,1.0,0.0,0.0,0.0,0.0
