date,Conflict,Disaster,Political,Water Insecurity
20130624,1.0,0.0,0.0,0.0
20130627,1.0,0.0,1.0,0.0
20130628,2.0,0.0,0.0,0.0
20130702,0.0,0.0,1.0,0.0
20130712,1.0,0.0,0.0,0.0
20130717,1.0,0.0,0.0,0.0
20130729,1.0,0.0,0.0,0.0
20130731,3.0,1.0,0.0,0.0
20130812,3.0,0.0,0.0,0.0
20130815,1.0,0.0,0.0,0.0
20130905,0.0,1.0,0.0,0.0
20130906,1.0,0.0,0.0,0.0
20130909,1.0,1.0,0.0,0.0
20130916,1.0,0.0,0.0,0.0
20130924,1.0,0.0,0.0,0.0
20131010,1.0,0.0,0.0,0.0
20131014,1.0,0.0,1.0,0.0
20131017,1.0,0.0,0.0,0.0
20131023,0.0,1.0,0.0,0.0
20131024,1.0,0.0,0.0,0.0
20131107,1.0,0.0,0.0,0.0
20131113,1.0,1.0,0.0,0.0
20131118,0.0,1.0,0.0,0.0
20131120,1.0,0.0,0.0,0.0
20131121,1.0,0.0,0.0,0.0
20131122,1.0,0.0,0.0,0.0
20131202,1.0,0.0,0.0,0.0
20131204,1.0,0.0,0.0,0.0
20131219,1.0,0.0,0.0,0.0
20140514,1.0,0.0,0.0,0.0
20140516,2.0,0.0,0.0,0.0
20140520,1.0,0.0,0.0,0.0
20140521,1.0,0.0,0.0,0.0
20140523,1.0,0.0,0.0,0.0
20140605,2.0,0.0,0.0,0.0
20140606,2.0,0.0,0.0,0.0
20140616,1.0,0.0,0.0,0.0
20140617,1.0,0.0,0.0,0.0
20140620,1.0,0.0,0.0,0.0
20140625,0.0,1.0,0.0,0.0
20140708,1.0,0.0,0.0,0.0
20140709,0.0,0.0,1.0,0.0
20140721,1.0,0.0,0.0,0.0
20140728,0.0,0.0,0.0,1.0
20140804,1.0,0.0,0.0,0.0
20140805,1.0,0.0,0.0,0.0
20140807,0.0,0.0,1.0,0.0
20140812,2.0,0.0,0.0,0.0
20140813,1.0,0.0,0.0,1.0
20140815,0.0,0.0,0.0,1.0
20140819,0.0,1.0,0.0,0.0
20140822,0.0,0.0,1.0,0.0
20140825,1.0,0.0,0.0,0.0
20140826,1.0,0.0,0.0,0.0
20140827,2.0,0.0,0.0,0.0
20140829,1.0,0.0,0.0,0.0
20140902,1.0,0.0,0.0,0.0
20140911,1.0,0.0,0.0,0.0
20140912,2.0,1.0,0.0,0.0
20140919,1.0,0.0,0.0,0.0
20140929,1.0,0.0,0.0,0.0
20141007,1.0,0.0,0.0,0.0
20141008,1.0,0.0,0.0,0.0
20141022,1.0,1.0,0.0,0.0
20141031,1.0,0.0,0.0,0.0
20141104,1.0,0.0,0.0,0.0
20141117,1.0,0.0,0.0,0.0
20141125,1.0,1.0,0.0,0.0
20141126,2.0,0.0,0.0,0.0
20141201,1.0,0.0,0.0,0.0
20141202,1.0,0.0,0.0,0.0
20141204,1.0,0.0,0.0,0.0
20141211,1.0,0.0,0.0,0.0
20141217,1.0,0.0,0.0,0.0
20141218,0.0,1.0,0.0,0.0
20141230,1.0,0.0,0.0,0.0
