date,Conflict,Disaster,Disease,Fund,Political/Social Unrest,Water Insecurity
20130624,0.0,1.0,0.0,0.0,0.0,0.0
20130626,1.0,0.0,0.0,0.0,0.0,0.0
20130627,1.0,1.0,0.0,0.0,0.0,0.0
20130628,1.0,1.0,0.0,0.0,0.0,0.0
20130701,1.0,0.0,0.0,0.0,0.0,0.0
20130710,1.0,0.0,0.0,0.0,0.0,1.0
20130711,0.0,0.0,0.0,0.0,0.0,1.0
20130715,0.0,1.0,0.0,0.0,0.0,0.0
20130716,0.0,1.0,0.0,0.0,0.0,0.0
20130717,0.0,1.0,0.0,0.0,0.0,0.0
20130724,0.0,0.0,0.0,0.0,0.0,1.0
20130725,1.0,0.0,0.0,0.0,0.0,0.0
20130731,1.0,0.0,0.0,0.0,0.0,0.0
20130812,0.0,1.0,0.0,0.0,0.0,1.0
20130813,2.0,0.0,0.0,0.0,0.0,0.0
20130814,0.0,1.0,0.0,0.0,0.0,0.0
20130815,0.0,1.0,0.0,0.0,1.0,0.0
20130905,0.0,0.0,0.0,0.0,0.0,1.0
20130909,1.0,0.0,0.0,0.0,0.0,0.0
20130910,1.0,1.0,0.0,0.0,0.0,0.0
20130924,1.0,0.0,0.0,0.0,0.0,0.0
20131004,0.0,1.0,0.0,0.0,0.0,0.0
20131008,0.0,1.0,0.0,0.0,0.0,0.0
20131009,2.0,0.0,0.0,0.0,0.0,0.0
20131011,0.0,1.0,0.0,0.0,0.0,0.0
20131016,0.0,2.0,0.0,0.0,0.0,1.0
20131017,1.0,1.0,0.0,0.0,0.0,0.0
20131023,1.0,1.0,0.0,0.0,0.0,0.0
20131025,1.0,0.0,0.0,0.0,0.0,0.0
20131031,1.0,0.0,0.0,0.0,0.0,0.0
20131104,1.0,0.0,0.0,0.0,0.0,0.0
20131106,1.0,0.0,0.0,0.0,0.0,0.0
20131113,0.0,0.0,0.0,0.0,1.0,0.0
20131118,0.0,0.0,0.0,1.0,0.0,0.0
20131119,0.0,1.0,0.0,0.0,0.0,0.0
20131125,2.0,0.0,0.0,0.0,0.0,0.0
20131230,2.0,0.0,1.0,0.0,0.0,0.0
20131231,1.0,0.0,0.0,0.0,0.0,0.0
20140514,2.0,0.0,0.0,0.0,0.0,0.0
20140521,1.0,0.0,0.0,0.0,0.0,0.0
20140522,1.0,0.0,0.0,0.0,0.0,0.0
20140523,1.0,0.0,0.0,0.0,0.0,0.0
20140605,2.0,0.0,0.0,0.0,0.0,0.0
20140606,1.0,0.0,0.0,0.0,0.0,0.0
20140616,1.0,0.0,0.0,0.0,0.0,0.0
20140617,1.0,1.0,0.0,0.0,0.0,0.0
20140619,2.0,0.0,0.0,0.0,0.0,0.0
20140620,0.0,1.0,0.0,0.0,0.0,0.0
20140623,1.0,0.0,0.0,0.0,0.0,0.0
20140702,2.0,0.0,0.0,0.0,0.0,0.0
20140707,2.0,0.0,0.0,0.0,0.0,0.0
20140708,0.0,1.0,0.0,0.0,0.0,0.0
20140709,0.0,1.0,0.0,0.0,0.0,0.0
20140710,1.0,0.0,0.0,0.0,1.0,0.0
20140716,0.0,0.0,0.0,0.0,0.0,1.0
20140721,0.0,2.0,0.0,0.0,0.0,0.0
20140723,0.0,2.0,0.0,0.0,0.0,0.0
20140728,0.0,1.0,0.0,0.0,0.0,0.0
20140730,1.0,0.0,0.0,0.0,0.0,0.0
20140801,1.0,0.0,0.0,0.0,0.0,0.0
20140804,1.0,1.0,0.0,0.0,0.0,0.0
20140805,1.0,0.0,0.0,0.0,0.0,0.0
20140806,1.0,0.0,0.0,0.0,0.0,0.0
20140812,0.0,0.0,1.0,0.0,0.0,0.0
20140814,0.0,1.0,0.0,0.0,0.0,0.0
20140819,3.0,0.0,0.0,0.0,0.0,0.0
20140829,0.0,1.0,0.0,0.0,0.0,0.0
20140902,0.0,1.0,0.0,0.0,0.0,0.0
20140923,1.0,1.0,0.0,0.0,0.0,0.0
20141007,1.0,0.0,0.0,0.0,0.0,0.0
20141009,1.0,0.0,0.0,0.0,0.0,0.0
20141015,0.0,2.0,0.0,0.0,0.0,0.0
20141016,0.0,0.0,0.0,0.0,1.0,0.0
20141020,1.0,0.0,0.0,0.0,1.0,0.0
20141021,1.0,0.0,0.0,0.0,0.0,0.0
20141022,1.0,0.0,0.0,0.0,0.0,0.0
20141027,0.0,1.0,0.0,0.0,0.0,0.0
20141114,0.0,1.0,0.0,0.0,0.0,0.0
20141117,0.0,0.0,0.0,0.0,1.0,0.0
20141201,2.0,1.0,1.0,0.0,0.0,0.0
20141202,1.0,0.0,0.0,0.0,0.0,0.0
20141208,0.0,1.0,0.0,0.0,0.0,0.0
20141211,3.0,0.0,0.0,0.0,0.0,0.0
20141218,0.0,0.0,1.0,0.0,0.0,0.0
