date,Conflict,Disaster,Disease,Fund,Political
20130624,2.0,0.0,0.0,0.0,0.0
20130625,2.0,0.0,0.0,0.0,0.0
20130626,1.0,0.0,0.0,0.0,0.0
20130627,2.0,0.0,0.0,0.0,1.0
20130628,2.0,0.0,0.0,0.0,1.0
20130701,3.0,0.0,0.0,0.0,1.0
20130702,1.0,1.0,0.0,0.0,1.0
20130710,2.0,1.0,0.0,0.0,2.0
20130711,3.0,0.0,0.0,0.0,2.0
20130712,5.0,1.0,0.0,0.0,0.0
20130715,3.0,0.0,0.0,0.0,0.0
20130716,2.0,0.0,0.0,0.0,1.0
20130717,2.0,0.0,0.0,0.0,0.0
20130718,2.0,0.0,0.0,0.0,0.0
20130724,2.0,0.0,0.0,0.0,1.0
20130725,2.0,1.0,0.0,0.0,0.0
20130726,1.0,0.0,0.0,0.0,3.0
20130729,1.0,2.0,0.0,0.0,1.0
20130730,2.0,0.0,0.0,0.0,0.0
20130801,1.0,0.0,0.0,0.0,1.0
20130809,2.0,0.0,0.0,0.0,1.0
20130812,1.0,0.0,0.0,0.0,1.0
20130813,1.0,0.0,0.0,0.0,1.0
20130814,4.0,1.0,0.0,0.0,0.0
20130815,4.0,0.0,0.0,0.0,0.0
20130905,0.0,1.0,0.0,0.0,0.0
20130906,2.0,1.0,0.0,0.0,0.0
20130909,3.0,0.0,0.0,0.0,0.0
20130910,1.0,0.0,0.0,0.0,0.0
20130911,2.0,0.0,0.0,1.0,1.0
20130913,2.0,1.0,0.0,0.0,0.0
20130916,2.0,0.0,0.0,0.0,0.0
20130919,1.0,0.0,0.0,0.0,1.0
20130920,1.0,0.0,0.0,0.0,0.0
20130924,1.0,0.0,0.0,0.0,0.0
20130930,1.0,0.0,0.0,0.0,1.0
20131004,2.0,0.0,0.0,0.0,0.0
20131008,1.0,1.0,0.0,0.0,0.0
20131009,4.0,0.0,0.0,1.0,0.0
20131010,1.0,0.0,0.0,0.0,0.0
20131014,1.0,0.0,0.0,0.0,0.0
20131023,1.0,0.0,0.0,0.0,0.0
20131024,1.0,0.0,0.0,0.0,1.0
20131025,0.0,1.0,0.0,0.0,0.0
20131030,0.0,2.0,0.0,0.0,1.0
20131104,3.0,1.0,0.0,0.0,0.0
20131105,1.0,0.0,0.0,0.0,0.0
20131106,0.0,0.0,0.0,1.0,0.0
20131107,0.0,0.0,0.0,0.0,1.0
20131108,0.0,1.0,0.0,0.0,0.0
20131111,2.0,0.0,0.0,0.0,0.0
20131112,3.0,0.0,0.0,0.0,0.0
20131118,1.0,0.0,0.0,0.0,1.0
20131119,2.0,0.0,0.0,0.0,0.0
20131120,2.0,0.0,0.0,0.0,0.0
20131121,2.0,0.0,0.0,0.0,0.0
20131122,1.0,0.0,0.0,0.0,0.0
20131125,2.0,0.0,0.0,0.0,1.0
20131129,1.0,0.0,0.0,0.0,1.0
20131203,0.0,0.0,0.0,0.0,1.0
20131204,1.0,0.0,0.0,0.0,0.0
20131205,0.0,0.0,0.0,0.0,2.0
20131218,0.0,0.0,0.0,1.0,0.0
20131219,1.0,0.0,0.0,0.0,0.0
20131230,3.0,0.0,0.0,0.0,0.0
20131231,1.0,0.0,0.0,0.0,0.0
20140519,2.0,0.0,0.0,0.0,0.0
20140520,1.0,0.0,0.0,0.0,0.0
20140521,0.0,0.0,0.0,1.0,0.0
20140522,1.0,0.0,0.0,0.0,0.0
20140523,1.0,0.0,0.0,0.0,0.0
20140606,2.0,0.0,0.0,0.0,1.0
20140616,1.0,0.0,0.0,0.0,0.0
20140617,1.0,0.0,0.0,0.0,1.0
20140620,1.0,0.0,0.0,0.0,0.0
20140623,2.0,0.0,0.0,0.0,0.0
20140624,0.0,1.0,0.0,0.0,0.0
20140625,1.0,1.0,0.0,0.0,1.0
20140702,1.0,0.0,0.0,0.0,0.0
20140707,1.0,1.0,0.0,0.0,0.0
20140708,0.0,0.0,0.0,0.0,1.0
20140710,2.0,0.0,0.0,0.0,0.0
20140716,1.0,0.0,0.0,0.0,0.0
20140721,1.0,0.0,0.0,0.0,0.0
20140723,1.0,0.0,0.0,0.0,0.0
20140728,1.0,0.0,0.0,0.0,0.0
20140730,1.0,0.0,0.0,0.0,0.0
20140806,1.0,0.0,0.0,0.0,0.0
20140812,1.0,0.0,0.0,0.0,0.0
20140814,1.0,0.0,0.0,0.0,0.0
20140815,1.0,0.0,0.0,0.0,0.0
20140822,0.0,1.0,0.0,0.0,0.0
20140826,1.0,1.0,0.0,0.0,0.0
20140829,1.0,0.0,0.0,0.0,0.0
20140910,1.0,0.0,0.0,0.0,0.0
20141020,1.0,0.0,0.0,0.0,0.0
20141021,0.0,0.0,0.0,0.0,1.0
20141022,0.0,0.0,0.0,0.0,1.0
20141027,1.0,0.0,0.0,0.0,0.0
20141104,1.0,0.0,0.0,0.0,0.0
20141105,1.0,0.0,0.0,0.0,0.0
20141117,1.0,0.0,0.0,0.0,0.0
20141118,1.0,0.0,1.0,0.0,0.0
20141124,1.0,0.0,0.0,0.0,0.0
20141126,1.0,0.0,0.0,0.0,0.0
20141127,4.0,0.0,0.0,0.0,0.0
20141201,1.0,0.0,0.0,0.0,0.0
20141203,0.0,0.0,0.0,0.0,1.0
20141204,1.0,0.0,0.0,0.0,0.0
20141208,1.0,0.0,0.0,0.0,0.0
20141211,1.0,0.0,0.0,0.0,0.0
20141212,0.0,1.0,0.0,0.0,0.0
20141216,1.0,0.0,0.0,0.0,0.0
20141218,0.0,1.0,0.0,0.0,0.0
