date,Conflict,Disaster,Disease,Food Insecurity,Fund,Political,Water Insecurity
20130625,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20130627,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130701,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130726,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20131009,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20131011,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20131018,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131108,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131111,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131112,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131119,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131122,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20131129,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20131205,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20140514,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140606,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140623,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20140714,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140715,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140815,0.0,0.0,1.0,0.0,0.0,1.0,0.0
20140911,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20140912,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20141015,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141020,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20141031,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20141103,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20141118,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141126,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20141127,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20141202,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20141203,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20141215,1.0,2.0,0.0,0.0,0.0,0.0,0.0
20141216,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20141218,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20141231,0.0,0.0,0.0,0.0,0.0,1.0,0.0
