date,Conflict,Disaster,Fund,Political,Water Insecurity
20130624,1.0,1.0,0.0,0.0,0.0
20130625,0.0,1.0,0.0,0.0,0.0
20130702,1.0,1.0,0.0,0.0,0.0
20130711,0.0,0.0,1.0,0.0,0.0
20130712,1.0,0.0,0.0,0.0,1.0
20130724,1.0,0.0,0.0,0.0,0.0
20130729,0.0,1.0,0.0,0.0,0.0
20130731,0.0,2.0,0.0,0.0,0.0
20130812,1.0,0.0,0.0,0.0,0.0
20130905,0.0,1.0,0.0,0.0,0.0
20130920,1.0,0.0,0.0,0.0,0.0
20131023,0.0,1.0,0.0,0.0,0.0
20131024,0.0,1.0,0.0,0.0,0.0
20131031,0.0,1.0,0.0,0.0,0.0
20131104,0.0,1.0,0.0,0.0,0.0
20131113,0.0,1.0,0.0,0.0,0.0
20131115,1.0,0.0,0.0,0.0,0.0
20131121,1.0,0.0,0.0,0.0,0.0
20131125,1.0,0.0,0.0,0.0,0.0
20131230,0.0,1.0,0.0,0.0,0.0
20131231,0.0,1.0,0.0,0.0,0.0
20140521,0.0,1.0,0.0,0.0,0.0
20140605,1.0,0.0,0.0,0.0,0.0
20140619,1.0,0.0,0.0,0.0,0.0
20140709,0.0,1.0,0.0,0.0,0.0
20140710,1.0,0.0,0.0,0.0,0.0
20140716,1.0,0.0,0.0,0.0,0.0
20140721,1.0,0.0,0.0,0.0,0.0
20140722,0.0,1.0,0.0,0.0,0.0
20140723,0.0,1.0,0.0,0.0,0.0
20140806,1.0,0.0,0.0,0.0,0.0
20140812,0.0,1.0,0.0,0.0,0.0
20140822,0.0,1.0,0.0,0.0,0.0
20141020,1.0,0.0,0.0,0.0,0.0
20141022,0.0,0.0,0.0,1.0,0.0
20141117,0.0,1.0,0.0,0.0,0.0
20141215,1.0,0.0,0.0,0.0,0.0
20141230,1.0,0.0,0.0,0.0,0.0
