date,Conflict,Disaster,Disease,Fund,Political/Social Unrest,Water Insecurity
20130624,0.0,0.0,0.0,0.0,1.0,0.0
20130626,1.0,0.0,0.0,0.0,0.0,0.0
20130628,1.0,0.0,1.0,0.0,0.0,0.0
20130701,1.0,0.0,0.0,0.0,0.0,0.0
20130906,1.0,0.0,0.0,0.0,0.0,0.0
20130911,0.0,0.0,1.0,0.0,0.0,1.0
20130912,0.0,0.0,0.0,0.0,0.0,1.0
20130916,1.0,0.0,0.0,0.0,0.0,0.0
20130919,1.0,0.0,0.0,0.0,0.0,0.0
20130923,2.0,1.0,0.0,0.0,0.0,0.0
20130924,1.0,1.0,0.0,0.0,0.0,0.0
20130926,2.0,0.0,0.0,0.0,0.0,0.0
20130930,1.0,0.0,0.0,0.0,0.0,0.0
20131004,1.0,0.0,0.0,0.0,0.0,0.0
20131008,1.0,0.0,0.0,0.0,0.0,0.0
20131010,1.0,0.0,0.0,0.0,0.0,0.0
20131018,1.0,0.0,0.0,0.0,0.0,0.0
20131024,1.0,0.0,0.0,0.0,0.0,0.0
20131025,0.0,1.0,0.0,0.0,0.0,0.0
20131031,1.0,0.0,0.0,0.0,0.0,0.0
20131105,1.0,0.0,0.0,0.0,0.0,0.0
20131129,0.0,0.0,0.0,1.0,0.0,0.0
20131204,1.0,0.0,0.0,0.0,0.0,0.0
20131218,1.0,0.0,0.0,0.0,0.0,0.0
20131231,1.0,0.0,0.0,0.0,0.0,0.0
20140516,2.0,0.0,0.0,0.0,0.0,0.0
20140520,1.0,0.0,0.0,0.0,0.0,0.0
20140522,1.0,0.0,0.0,0.0,0.0,0.0
20140605,1.0,0.0,0.0,0.0,0.0,0.0
20140616,1.0,0.0,0.0,0.0,0.0,0.0
20140617,2.0,1.0,0.0,0.0,0.0,0.0
20140620,0.0,0.0,0.0,0.0,1.0,0.0
20140624,1.0,0.0,0.0,0.0,0.0,1.0
20140625,3.0,0.0,0.0,0.0,0.0,0.0
20140702,0.0,1.0,0.0,0.0,0.0,0.0
20140707,0.0,1.0,0.0,0.0,1.0,0.0
20140708,2.0,0.0,0.0,0.0,0.0,0.0
20140709,1.0,0.0,0.0,0.0,0.0,0.0
20140710,1.0,0.0,0.0,0.0,0.0,0.0
20140718,0.0,0.0,0.0,0.0,1.0,0.0
20140721,2.0,0.0,0.0,0.0,0.0,0.0
20140730,0.0,0.0,0.0,0.0,1.0,0.0
20140814,1.0,0.0,0.0,0.0,0.0,0.0
20140819,1.0,0.0,0.0,0.0,0.0,0.0
20140825,0.0,1.0,0.0,0.0,0.0,0.0
20140828,1.0,0.0,0.0,0.0,0.0,0.0
20140829,2.0,0.0,0.0,0.0,0.0,0.0
20140902,1.0,0.0,0.0,0.0,0.0,0.0
20140905,0.0,0.0,0.0,0.0,0.0,1.0
20140908,0.0,1.0,0.0,0.0,0.0,0.0
20141007,1.0,0.0,0.0,0.0,0.0,0.0
20141008,1.0,0.0,0.0,0.0,0.0,0.0
20141103,2.0,0.0,0.0,0.0,0.0,0.0
20141105,1.0,0.0,0.0,0.0,0.0,0.0
20141117,0.0,1.0,0.0,0.0,0.0,0.0
20141118,1.0,0.0,0.0,0.0,0.0,0.0
20141127,2.0,0.0,0.0,0.0,0.0,0.0
20141201,1.0,0.0,0.0,0.0,0.0,0.0
20141202,1.0,0.0,0.0,0.0,0.0,0.0
20141203,1.0,0.0,0.0,0.0,0.0,0.0
20141204,0.0,0.0,0.0,0.0,1.0,0.0
20141211,0.0,1.0,0.0,0.0,0.0,0.0
20141212,0.0,0.0,0.0,1.0,0.0,0.0
20141215,1.0,0.0,0.0,0.0,0.0,0.0
20141216,0.0,0.0,0.0,1.0,0.0,0.0
20141218,0.0,1.0,0.0,0.0,0.0,0.0
