date,Conflict,Disaster,Disease,Fund,Political,Water Insecurity
20130624,1.0,1.0,0.0,0.0,0.0,0.0
20130625,1.0,0.0,0.0,0.0,0.0,0.0
20130626,2.0,0.0,0.0,0.0,0.0,0.0
20130628,1.0,0.0,0.0,0.0,0.0,0.0
20130715,0.0,1.0,0.0,0.0,0.0,0.0
20130717,1.0,0.0,0.0,0.0,1.0,0.0
20130730,1.0,0.0,0.0,0.0,0.0,0.0
20130731,2.0,0.0,0.0,0.0,0.0,0.0
20130812,1.0,0.0,0.0,0.0,0.0,0.0
20130814,0.0,1.0,0.0,0.0,0.0,0.0
20130906,1.0,0.0,0.0,1.0,0.0,0.0
20130923,1.0,0.0,0.0,0.0,0.0,0.0
20130924,0.0,0.0,0.0,0.0,1.0,0.0
20130926,3.0,0.0,0.0,0.0,0.0,0.0
20130930,1.0,0.0,0.0,0.0,0.0,0.0
20131023,1.0,0.0,0.0,0.0,0.0,0.0
20131024,1.0,0.0,0.0,0.0,0.0,0.0
20131025,1.0,0.0,0.0,0.0,0.0,0.0
20131031,1.0,0.0,0.0,0.0,0.0,0.0
20131107,0.0,1.0,0.0,0.0,0.0,0.0
20131112,1.0,0.0,0.0,0.0,0.0,0.0
20131113,1.0,0.0,0.0,0.0,0.0,0.0
20131119,1.0,0.0,0.0,0.0,0.0,0.0
20131120,1.0,0.0,0.0,0.0,0.0,0.0
20131202,1.0,0.0,0.0,0.0,0.0,0.0
20131203,1.0,0.0,0.0,0.0,0.0,0.0
20131204,1.0,0.0,0.0,0.0,0.0,0.0
20131218,0.0,0.0,0.0,0.0,0.0,1.0
20131219,1.0,0.0,0.0,0.0,0.0,0.0
20131230,1.0,0.0,0.0,0.0,0.0,0.0
20140520,0.0,1.0,0.0,0.0,0.0,0.0
20140523,0.0,0.0,0.0,0.0,1.0,0.0
20140605,0.0,0.0,0.0,0.0,1.0,0.0
20140606,1.0,0.0,0.0,0.0,0.0,0.0
20140619,2.0,0.0,0.0,0.0,0.0,0.0
20140620,1.0,0.0,0.0,0.0,0.0,0.0
20140623,1.0,0.0,0.0,0.0,0.0,0.0
20140624,1.0,0.0,0.0,0.0,0.0,0.0
20140625,1.0,0.0,0.0,0.0,0.0,0.0
20140702,0.0,1.0,0.0,0.0,0.0,0.0
20140710,2.0,0.0,0.0,0.0,0.0,0.0
20140721,1.0,0.0,0.0,0.0,0.0,0.0
20140804,1.0,0.0,0.0,0.0,0.0,0.0
20140805,1.0,0.0,0.0,0.0,0.0,0.0
20140806,1.0,0.0,0.0,0.0,0.0,0.0
20140807,2.0,0.0,0.0,0.0,0.0,0.0
20140828,2.0,0.0,0.0,0.0,0.0,0.0
20140905,1.0,0.0,0.0,0.0,0.0,0.0
20140908,1.0,0.0,0.0,0.0,0.0,0.0
20141007,1.0,0.0,0.0,0.0,0.0,0.0
20141016,0.0,0.0,1.0,0.0,0.0,0.0
20141027,2.0,0.0,0.0,0.0,0.0,0.0
20141126,1.0,0.0,0.0,0.0,0.0,0.0
20141127,0.0,2.0,0.0,0.0,0.0,0.0
20141202,2.0,1.0,0.0,0.0,0.0,0.0
20141208,1.0,0.0,0.0,0.0,0.0,0.0
20141216,1.0,0.0,0.0,0.0,0.0,0.0
