date,Conflict,Disaster,Political,Water Insecurity
20130627,1.0,0.0,0.0,0.0
20130724,0.0,1.0,0.0,0.0
20130812,1.0,0.0,0.0,0.0
20130814,1.0,0.0,0.0,1.0
20130815,1.0,0.0,0.0,0.0
20130827,1.0,0.0,0.0,0.0
20130905,1.0,0.0,0.0,0.0
20130920,1.0,0.0,1.0,0.0
20130923,1.0,0.0,0.0,0.0
20130924,1.0,0.0,0.0,0.0
20130926,0.0,1.0,0.0,0.0
20131030,0.0,1.0,0.0,0.0
20131104,0.0,0.0,1.0,0.0
20131108,2.0,0.0,0.0,0.0
20131115,0.0,0.0,2.0,0.0
20131129,1.0,0.0,0.0,0.0
20131203,2.0,0.0,0.0,0.0
20131204,1.0,0.0,0.0,0.0
20140519,0.0,1.0,0.0,0.0
20140606,0.0,2.0,0.0,0.0
20140616,1.0,0.0,0.0,0.0
20140617,1.0,0.0,0.0,0.0
20140619,1.0,0.0,0.0,0.0
20140620,1.0,0.0,0.0,0.0
20140707,1.0,0.0,0.0,0.0
20140709,1.0,0.0,0.0,0.0
20140721,1.0,0.0,0.0,0.0
20140804,0.0,1.0,0.0,0.0
20140806,1.0,0.0,0.0,0.0
20140814,1.0,0.0,0.0,0.0
20140819,1.0,1.0,0.0,0.0
20140822,0.0,1.0,0.0,0.0
20140828,1.0,0.0,0.0,0.0
20141016,1.0,0.0,0.0,0.0
20141021,1.0,1.0,0.0,0.0
20141027,0.0,1.0,0.0,0.0
20141031,0.0,1.0,0.0,0.0
20141217,1.0,0.0,0.0,0.0
20141230,0.0,0.0,1.0,0.0
