date,Conflict,Disaster,Political,Water Insecurity
20130905,1.0,0.0,0.0,0.0
20130906,0.0,1.0,0.0,0.0
20130909,1.0,0.0,0.0,0.0
20130916,1.0,0.0,0.0,0.0
20130924,2.0,0.0,0.0,0.0
20130926,1.0,0.0,0.0,0.0
20130927,0.0,0.0,1.0,0.0
20130930,0.0,1.0,0.0,0.0
20131004,1.0,0.0,0.0,0.0
20131008,0.0,0.0,1.0,0.0
20131009,1.0,0.0,0.0,0.0
20131018,0.0,1.0,0.0,0.0
20131031,0.0,1.0,0.0,0.0
20131106,0.0,1.0,0.0,0.0
20131107,0.0,0.0,1.0,0.0
20131108,0.0,0.0,1.0,0.0
20131111,0.0,0.0,1.0,0.0
20131113,1.0,0.0,0.0,0.0
20131118,1.0,0.0,0.0,0.0
20141208,0.0,0.0,0.0,1.0
