date,Conflict,Disaster,Disease,Fund,Political,Water Insecurity
20130624,0.0,1.0,0.0,0.0,0.0,0.0
20130625,1.0,0.0,0.0,0.0,0.0,0.0
20130626,2.0,0.0,0.0,0.0,0.0,0.0
20130627,1.0,0.0,0.0,0.0,1.0,0.0
20130628,1.0,0.0,0.0,0.0,0.0,0.0
20130701,3.0,0.0,0.0,0.0,0.0,0.0
20130702,2.0,0.0,0.0,0.0,0.0,0.0
20130710,0.0,1.0,0.0,0.0,0.0,0.0
20130711,0.0,0.0,0.0,0.0,1.0,0.0
20130712,1.0,0.0,0.0,0.0,0.0,0.0
20130715,1.0,0.0,0.0,0.0,0.0,0.0
20130717,0.0,0.0,0.0,0.0,1.0,0.0
20130718,0.0,0.0,0.0,0.0,0.0,1.0
20130724,1.0,0.0,0.0,0.0,0.0,0.0
20130729,0.0,0.0,0.0,0.0,1.0,0.0
20130730,1.0,0.0,0.0,0.0,0.0,0.0
20130731,0.0,2.0,0.0,0.0,0.0,0.0
20130801,0.0,1.0,0.0,0.0,0.0,0.0
20130809,1.0,0.0,0.0,0.0,0.0,0.0
20130812,1.0,2.0,0.0,0.0,1.0,0.0
20130813,1.0,1.0,0.0,0.0,0.0,0.0
20130815,1.0,0.0,0.0,0.0,1.0,0.0
20130827,0.0,1.0,0.0,0.0,0.0,0.0
20130909,2.0,0.0,0.0,0.0,0.0,0.0
20130912,1.0,1.0,0.0,0.0,0.0,0.0
20130919,1.0,1.0,0.0,1.0,1.0,0.0
20130923,1.0,0.0,0.0,0.0,0.0,0.0
20130924,1.0,0.0,0.0,0.0,0.0,0.0
20130926,1.0,0.0,0.0,0.0,0.0,0.0
20130927,2.0,0.0,0.0,0.0,0.0,0.0
20130930,5.0,0.0,0.0,0.0,0.0,0.0
20131004,3.0,0.0,0.0,0.0,0.0,0.0
20131008,1.0,0.0,0.0,0.0,0.0,0.0
20131011,2.0,0.0,0.0,0.0,0.0,0.0
20131014,0.0,1.0,0.0,0.0,0.0,0.0
20131016,1.0,0.0,0.0,0.0,0.0,0.0
20131017,2.0,0.0,0.0,1.0,0.0,0.0
20131018,2.0,0.0,0.0,0.0,0.0,0.0
20131023,0.0,0.0,0.0,0.0,1.0,1.0
20131024,2.0,0.0,0.0,0.0,0.0,0.0
20131025,1.0,0.0,0.0,0.0,0.0,0.0
20131030,1.0,0.0,0.0,0.0,0.0,0.0
20131031,1.0,0.0,0.0,0.0,0.0,0.0
20131104,4.0,0.0,0.0,0.0,0.0,0.0
20131105,2.0,0.0,0.0,0.0,1.0,0.0
20131106,4.0,0.0,0.0,0.0,0.0,0.0
20131107,0.0,1.0,0.0,0.0,0.0,0.0
20131108,0.0,0.0,0.0,0.0,1.0,0.0
20131111,3.0,0.0,0.0,0.0,0.0,0.0
20131115,1.0,1.0,0.0,0.0,0.0,0.0
20131118,1.0,0.0,0.0,0.0,0.0,0.0
20131120,1.0,0.0,0.0,0.0,0.0,0.0
20131121,3.0,0.0,0.0,0.0,1.0,0.0
20131122,0.0,0.0,0.0,0.0,1.0,0.0
20131125,1.0,2.0,0.0,0.0,0.0,0.0
20131129,3.0,0.0,0.0,0.0,0.0,0.0
20131202,0.0,1.0,0.0,0.0,1.0,0.0
20131204,1.0,0.0,0.0,0.0,1.0,0.0
20131205,1.0,0.0,0.0,0.0,0.0,0.0
20131218,0.0,1.0,0.0,0.0,0.0,0.0
20131219,1.0,0.0,1.0,0.0,0.0,0.0
20131230,1.0,0.0,0.0,0.0,0.0,0.0
20140519,1.0,0.0,0.0,0.0,0.0,0.0
20140520,3.0,0.0,0.0,0.0,0.0,0.0
20140521,1.0,1.0,0.0,0.0,0.0,0.0
20140522,1.0,0.0,0.0,0.0,0.0,0.0
20140523,2.0,0.0,0.0,0.0,0.0,0.0
20140605,1.0,0.0,0.0,0.0,0.0,0.0
20140606,0.0,1.0,0.0,0.0,0.0,0.0
20140616,0.0,0.0,0.0,0.0,1.0,0.0
20140619,0.0,0.0,0.0,0.0,1.0,0.0
20140620,0.0,1.0,0.0,0.0,0.0,0.0
20140702,0.0,0.0,0.0,0.0,1.0,0.0
20140709,1.0,0.0,0.0,0.0,0.0,0.0
20140714,1.0,0.0,0.0,0.0,0.0,0.0
20140715,2.0,0.0,0.0,0.0,0.0,0.0
20140716,1.0,0.0,0.0,0.0,0.0,0.0
20140717,1.0,0.0,0.0,0.0,0.0,0.0
20140813,1.0,0.0,0.0,0.0,0.0,0.0
20140814,0.0,1.0,0.0,0.0,0.0,0.0
20140825,0.0,1.0,0.0,0.0,0.0,0.0
20140829,1.0,0.0,0.0,0.0,0.0,0.0
20140902,1.0,0.0,0.0,0.0,0.0,0.0
20140912,0.0,1.0,0.0,0.0,0.0,0.0
20140919,1.0,0.0,0.0,0.0,0.0,0.0
20141007,1.0,0.0,0.0,0.0,0.0,0.0
20141008,1.0,0.0,0.0,0.0,0.0,0.0
20141009,1.0,0.0,0.0,0.0,0.0,0.0
20141020,0.0,1.0,0.0,0.0,0.0,0.0
20141027,0.0,0.0,1.0,0.0,0.0,0.0
20141103,1.0,0.0,0.0,0.0,0.0,0.0
20141117,0.0,1.0,0.0,0.0,0.0,0.0
20141118,1.0,0.0,0.0,0.0,0.0,0.0
20141124,1.0,0.0,1.0,0.0,0.0,0.0
20141125,0.0,0.0,1.0,0.0,0.0,0.0
20141126,1.0,0.0,0.0,0.0,0.0,1.0
20141127,1.0,0.0,0.0,0.0,0.0,0.0
20141204,1.0,0.0,0.0,0.0,0.0,0.0
20141205,0.0,0.0,1.0,0.0,0.0,0.0
20141211,1.0,0.0,0.0,0.0,0.0,0.0
20141217,1.0,0.0,0.0,0.0,0.0,0.0
