date,Conflict,Disaster,Disease,Political/Social Unrest,Water Insecurity
20130626,1.0,0.0,0.0,0.0,0.0
20130628,2.0,0.0,0.0,0.0,0.0
20130701,0.0,1.0,0.0,0.0,0.0
20130702,1.0,0.0,0.0,0.0,0.0
20130711,2.0,0.0,0.0,0.0,0.0
20130715,1.0,0.0,0.0,0.0,0.0
20130716,1.0,0.0,0.0,1.0,0.0
20130718,1.0,0.0,0.0,0.0,0.0
20130730,1.0,0.0,0.0,0.0,0.0
20130801,0.0,0.0,0.0,0.0,1.0
20130813,1.0,0.0,0.0,0.0,0.0
20130814,1.0,0.0,0.0,0.0,0.0
20130827,1.0,0.0,0.0,0.0,0.0
20130910,0.0,0.0,1.0,0.0,0.0
20130911,0.0,0.0,0.0,1.0,0.0
20130913,1.0,0.0,0.0,0.0,0.0
20130926,0.0,0.0,0.0,0.0,1.0
20130927,0.0,0.0,0.0,1.0,0.0
20130930,0.0,1.0,0.0,0.0,0.0
20131008,1.0,0.0,0.0,1.0,0.0
20131009,0.0,1.0,0.0,0.0,0.0
20131011,0.0,1.0,0.0,0.0,0.0
20131014,2.0,0.0,0.0,0.0,0.0
20131016,1.0,1.0,0.0,0.0,0.0
20131017,1.0,0.0,0.0,0.0,0.0
20131018,0.0,1.0,0.0,0.0,0.0
20131025,0.0,1.0,0.0,1.0,0.0
20131031,0.0,0.0,0.0,1.0,0.0
20131104,2.0,1.0,0.0,0.0,0.0
20131105,0.0,1.0,0.0,1.0,0.0
20131106,0.0,1.0,0.0,2.0,0.0
20131107,0.0,0.0,0.0,1.0,0.0
20131115,0.0,0.0,0.0,1.0,0.0
20131119,1.0,0.0,0.0,0.0,0.0
20131120,0.0,0.0,0.0,2.0,0.0
20131121,0.0,0.0,0.0,1.0,0.0
20131125,1.0,0.0,0.0,0.0,0.0
20131202,0.0,0.0,1.0,0.0,0.0
20131205,0.0,1.0,0.0,0.0,0.0
20131218,0.0,1.0,0.0,0.0,0.0
20131219,1.0,0.0,0.0,0.0,0.0
20131230,0.0,1.0,0.0,0.0,0.0
20131231,0.0,0.0,0.0,1.0,0.0
20140519,1.0,0.0,0.0,0.0,0.0
20140520,1.0,0.0,0.0,0.0,0.0
20140522,0.0,0.0,1.0,0.0,0.0
20140523,2.0,0.0,0.0,0.0,0.0
20140619,1.0,0.0,0.0,0.0,0.0
20140625,0.0,1.0,0.0,0.0,0.0
20140702,1.0,0.0,0.0,0.0,0.0
20140707,3.0,0.0,0.0,0.0,0.0
20140710,2.0,0.0,0.0,0.0,0.0
20140714,1.0,0.0,0.0,0.0,0.0
20140717,0.0,0.0,0.0,1.0,0.0
20140722,1.0,0.0,0.0,0.0,0.0
20140728,1.0,0.0,0.0,0.0,0.0
20140804,1.0,0.0,0.0,0.0,0.0
20140807,1.0,0.0,0.0,0.0,0.0
20140815,1.0,0.0,0.0,0.0,0.0
20140825,1.0,0.0,0.0,0.0,0.0
20140826,0.0,1.0,0.0,0.0,0.0
20140902,1.0,0.0,0.0,0.0,0.0
20140912,0.0,1.0,0.0,0.0,0.0
20141118,0.0,0.0,0.0,1.0,0.0
20141126,1.0,0.0,0.0,0.0,0.0
