date,Conflict,Disaster,Disease,Political/Social Unrest,Water Insecurity
20130625,0.0,0.0,1.0,0.0,0.0
20130628,1.0,0.0,0.0,0.0,0.0
20130717,1.0,0.0,0.0,0.0,0.0
20130814,1.0,0.0,0.0,0.0,0.0
20130912,1.0,0.0,0.0,0.0,0.0
20130919,0.0,0.0,0.0,0.0,1.0
20130926,0.0,1.0,0.0,0.0,0.0
20131018,1.0,0.0,0.0,0.0,0.0
20131023,2.0,0.0,0.0,0.0,0.0
20131024,1.0,0.0,0.0,0.0,0.0
20131025,0.0,0.0,0.0,1.0,0.0
20131030,1.0,0.0,0.0,0.0,0.0
20131031,2.0,0.0,0.0,0.0,0.0
20131104,2.0,0.0,0.0,1.0,0.0
20131105,0.0,0.0,0.0,1.0,0.0
20131106,1.0,0.0,0.0,1.0,0.0
20131111,0.0,0.0,0.0,1.0,0.0
20131113,1.0,0.0,0.0,0.0,0.0
20131115,1.0,0.0,0.0,0.0,0.0
20131118,2.0,0.0,0.0,0.0,0.0
20131120,1.0,0.0,0.0,0.0,0.0
20131129,1.0,0.0,0.0,0.0,0.0
20131205,2.0,0.0,0.0,0.0,0.0
20140523,1.0,0.0,0.0,0.0,0.0
20140605,1.0,0.0,0.0,0.0,0.0
20140606,1.0,0.0,0.0,0.0,0.0
20140624,0.0,1.0,0.0,0.0,0.0
20140708,0.0,0.0,0.0,1.0,0.0
20140710,1.0,0.0,0.0,0.0,0.0
20140814,1.0,0.0,0.0,0.0,0.0
20140825,1.0,0.0,0.0,0.0,0.0
20140902,1.0,0.0,0.0,0.0,0.0
20140905,1.0,0.0,0.0,0.0,0.0
20141015,1.0,0.0,0.0,0.0,0.0
20141020,0.0,1.0,0.0,0.0,0.0
20141022,1.0,0.0,0.0,0.0,0.0
20141031,1.0,0.0,0.0,0.0,0.0
