date,Conflict,Disaster,Political,Water Insecurity
20130731,2.0,0.0,0.0,0.0
20130909,0.0,1.0,0.0,0.0
20130919,1.0,0.0,0.0,0.0
20131014,1.0,1.0,0.0,0.0
20131017,0.0,1.0,0.0,0.0
20131024,1.0,0.0,0.0,0.0
20131031,1.0,0.0,0.0,0.0
20131104,1.0,0.0,0.0,0.0
20131105,0.0,1.0,0.0,0.0
20131111,0.0,1.0,0.0,0.0
20131118,0.0,1.0,0.0,0.0
20131119,0.0,1.0,0.0,0.0
20131230,1.0,0.0,0.0,0.0
20140523,1.0,0.0,0.0,0.0
20140606,0.0,1.0,0.0,0.0
20140616,0.0,1.0,0.0,0.0
20140702,1.0,0.0,0.0,0.0
20140815,0.0,1.0,0.0,0.0
20140825,0.0,1.0,0.0,0.0
20140828,0.0,0.0,1.0,0.0
20140902,0.0,1.0,0.0,0.0
20141027,0.0,0.0,0.0,1.0
20141031,1.0,0.0,0.0,0.0
20141114,1.0,0.0,0.0,0.0
20141125,0.0,1.0,0.0,0.0
20141211,1.0,0.0,0.0,0.0
