date,Conflict,Disaster,Political,Water Insecurity
20130625,0.0,1.0,0.0,0.0
20130813,0.0,1.0,0.0,0.0
20130912,0.0,0.0,1.0,0.0
20130913,1.0,0.0,0.0,0.0
20130920,0.0,1.0,0.0,0.0
20131010,1.0,0.0,0.0,0.0
20131011,0.0,0.0,1.0,0.0
20131025,1.0,0.0,0.0,0.0
20131031,1.0,0.0,0.0,0.0
20131113,1.0,0.0,0.0,0.0
20131115,1.0,0.0,0.0,0.0
20131118,1.0,0.0,1.0,0.0
20131119,0.0,0.0,2.0,0.0
20131120,0.0,0.0,1.0,0.0
20131121,1.0,0.0,0.0,0.0
20131125,0.0,0.0,1.0,0.0
20131129,0.0,0.0,1.0,0.0
20131204,0.0,0.0,1.0,0.0
20140620,0.0,1.0,0.0,0.0
20140709,1.0,0.0,0.0,0.0
20140804,0.0,1.0,0.0,0.0
20140806,0.0,0.0,0.0,1.0
20140815,0.0,1.0,0.0,0.0
20140923,1.0,0.0,0.0,0.0
