date,Conflict,Disaster,Disease,Political/Social Unrest,Water Insecurity
20130624,3.0,0.0,0.0,0.0,0.0
20130625,0.0,1.0,0.0,0.0,0.0
20130626,1.0,0.0,0.0,0.0,0.0
20130627,1.0,0.0,0.0,0.0,0.0
20130628,1.0,0.0,0.0,0.0,0.0
20130701,1.0,0.0,0.0,0.0,0.0
20130711,3.0,0.0,0.0,0.0,0.0
20130712,1.0,0.0,0.0,0.0,0.0
20130715,1.0,0.0,0.0,0.0,0.0
20130716,1.0,1.0,0.0,0.0,0.0
20130718,2.0,0.0,0.0,0.0,0.0
20130725,1.0,0.0,0.0,0.0,0.0
20130726,1.0,0.0,0.0,0.0,0.0
20130729,2.0,0.0,0.0,0.0,0.0
20130730,2.0,0.0,0.0,0.0,0.0
20130731,1.0,1.0,2.0,0.0,0.0
20130809,1.0,0.0,0.0,0.0,0.0
20130813,0.0,0.0,0.0,0.0,1.0
20130814,1.0,0.0,0.0,0.0,0.0
20130815,0.0,0.0,0.0,0.0,1.0
20130905,0.0,0.0,0.0,1.0,0.0
20130906,1.0,0.0,0.0,0.0,0.0
20130909,1.0,0.0,0.0,1.0,0.0
20130910,0.0,1.0,0.0,0.0,0.0
20130911,1.0,0.0,0.0,0.0,0.0
20130912,1.0,0.0,0.0,0.0,0.0
20130916,4.0,0.0,0.0,0.0,0.0
20130919,2.0,0.0,0.0,0.0,0.0
20130920,0.0,0.0,1.0,0.0,0.0
20130923,3.0,0.0,0.0,0.0,0.0
20130926,0.0,1.0,0.0,0.0,0.0
20130927,1.0,2.0,0.0,0.0,0.0
20130930,2.0,0.0,0.0,1.0,0.0
20131004,1.0,0.0,1.0,0.0,0.0
20131008,1.0,0.0,0.0,0.0,0.0
20131009,1.0,0.0,0.0,0.0,0.0
20131010,4.0,1.0,0.0,0.0,0.0
20131011,0.0,0.0,0.0,1.0,0.0
20131014,1.0,0.0,0.0,0.0,0.0
20131017,1.0,0.0,0.0,0.0,0.0
20131024,1.0,0.0,0.0,0.0,0.0
20131025,0.0,0.0,1.0,0.0,0.0
20131031,4.0,0.0,0.0,0.0,0.0
20131104,2.0,0.0,1.0,0.0,0.0
20131105,1.0,0.0,0.0,0.0,0.0
20131106,0.0,0.0,0.0,1.0,0.0
20131107,2.0,0.0,0.0,0.0,0.0
20131108,1.0,0.0,0.0,1.0,0.0
20131111,1.0,0.0,0.0,0.0,0.0
20131115,1.0,0.0,0.0,0.0,0.0
20131119,2.0,0.0,0.0,0.0,0.0
20131120,1.0,0.0,0.0,0.0,0.0
20131121,1.0,0.0,0.0,0.0,0.0
20131122,2.0,0.0,0.0,0.0,0.0
20131125,1.0,0.0,0.0,0.0,0.0
20131202,2.0,0.0,0.0,0.0,0.0
20131203,1.0,0.0,0.0,0.0,0.0
20131204,1.0,0.0,1.0,0.0,0.0
20131205,1.0,0.0,1.0,0.0,0.0
20131218,3.0,0.0,0.0,0.0,0.0
20131219,1.0,0.0,0.0,0.0,0.0
20131230,1.0,1.0,0.0,0.0,0.0
20140516,1.0,0.0,0.0,0.0,0.0
20140519,1.0,1.0,1.0,0.0,0.0
20140520,1.0,0.0,0.0,0.0,0.0
20140521,1.0,0.0,0.0,0.0,0.0
20140522,2.0,0.0,0.0,0.0,0.0
20140523,1.0,1.0,0.0,0.0,0.0
20140605,1.0,0.0,0.0,1.0,0.0
20140606,3.0,0.0,0.0,0.0,0.0
20140616,3.0,0.0,0.0,0.0,0.0
20140617,2.0,0.0,0.0,0.0,0.0
20140619,2.0,0.0,0.0,0.0,0.0
20140620,2.0,0.0,0.0,0.0,0.0
20140623,1.0,0.0,1.0,0.0,0.0
20140624,1.0,0.0,0.0,0.0,0.0
20140625,2.0,1.0,0.0,0.0,0.0
20140707,0.0,1.0,0.0,0.0,0.0
20140708,1.0,0.0,0.0,0.0,0.0
20140710,3.0,0.0,0.0,0.0,0.0
20140714,2.0,0.0,0.0,0.0,0.0
20140716,2.0,0.0,0.0,0.0,0.0
20140718,1.0,0.0,0.0,0.0,0.0
20140721,1.0,0.0,0.0,0.0,0.0
20140722,1.0,0.0,0.0,2.0,0.0
20140723,2.0,1.0,0.0,0.0,0.0
20140728,1.0,0.0,0.0,0.0,0.0
20140730,1.0,0.0,0.0,0.0,0.0
20140801,0.0,1.0,0.0,0.0,0.0
20140804,1.0,0.0,0.0,0.0,0.0
20140806,2.0,0.0,0.0,0.0,0.0
20140812,1.0,0.0,0.0,0.0,0.0
20140813,1.0,0.0,0.0,0.0,0.0
20140814,1.0,0.0,0.0,0.0,0.0
20140815,2.0,0.0,0.0,0.0,0.0
20140819,3.0,0.0,0.0,1.0,0.0
20140822,0.0,1.0,0.0,0.0,0.0
20140825,2.0,0.0,0.0,0.0,0.0
20140826,1.0,0.0,0.0,0.0,0.0
20140827,0.0,0.0,0.0,1.0,0.0
20140828,1.0,0.0,0.0,0.0,0.0
20140829,0.0,0.0,0.0,1.0,0.0
20140902,1.0,0.0,0.0,2.0,0.0
20140905,1.0,0.0,0.0,1.0,0.0
20140908,0.0,1.0,0.0,0.0,0.0
20140910,1.0,0.0,0.0,0.0,0.0
20140911,0.0,0.0,0.0,1.0,0.0
20140912,1.0,0.0,0.0,0.0,1.0
20140929,1.0,0.0,0.0,0.0,0.0
20141007,3.0,0.0,0.0,0.0,0.0
20141008,1.0,0.0,0.0,0.0,0.0
20141009,1.0,0.0,0.0,0.0,1.0
20141015,2.0,0.0,0.0,0.0,0.0
20141020,2.0,0.0,0.0,0.0,0.0
20141022,1.0,1.0,0.0,0.0,0.0
20141027,3.0,0.0,0.0,0.0,0.0
20141031,1.0,1.0,0.0,0.0,0.0
20141103,0.0,0.0,0.0,0.0,1.0
20141105,1.0,0.0,0.0,0.0,0.0
20141117,1.0,0.0,0.0,0.0,0.0
20141118,1.0,1.0,0.0,0.0,0.0
