date,Conflict,Disaster,Fund,Political,Water Insecurity
20130624,1.0,0.0,0.0,0.0,0.0
20130717,0.0,1.0,0.0,0.0,0.0
20130726,0.0,1.0,0.0,0.0,0.0
20130801,1.0,0.0,0.0,0.0,0.0
20130809,0.0,0.0,0.0,0.0,1.0
20131009,1.0,0.0,0.0,0.0,0.0
20131010,1.0,0.0,0.0,0.0,0.0
20131011,1.0,0.0,0.0,0.0,0.0
20131024,0.0,1.0,0.0,0.0,0.0
20131107,0.0,1.0,0.0,0.0,0.0
20131108,1.0,0.0,0.0,0.0,0.0
20131122,1.0,0.0,0.0,0.0,0.0
20131129,0.0,1.0,0.0,0.0,0.0
20131203,0.0,1.0,0.0,0.0,0.0
20131204,0.0,1.0,0.0,0.0,0.0
20140624,0.0,0.0,0.0,0.0,1.0
20140702,1.0,0.0,0.0,0.0,0.0
20140709,0.0,1.0,0.0,0.0,0.0
20140710,1.0,0.0,0.0,0.0,0.0
20140721,1.0,0.0,0.0,0.0,0.0
20140825,0.0,0.0,1.0,0.0,0.0
20140827,0.0,0.0,1.0,0.0,0.0
20141008,1.0,0.0,0.0,0.0,0.0
20141010,0.0,0.0,0.0,1.0,0.0
20141114,0.0,0.0,0.0,1.0,0.0
20141125,1.0,0.0,0.0,0.0,0.0
