date,Conflict,Disaster,Disease,Fund,Political,Water Insecurity
20130624,0.0,0.0,1.0,0.0,0.0,0.0
20130701,1.0,0.0,0.0,0.0,0.0,0.0
20130712,1.0,0.0,0.0,0.0,0.0,0.0
20130724,1.0,0.0,0.0,0.0,0.0,0.0
20130731,2.0,0.0,0.0,0.0,0.0,0.0
20130801,0.0,0.0,0.0,0.0,1.0,0.0
20130813,1.0,0.0,0.0,0.0,0.0,0.0
20130906,0.0,1.0,0.0,0.0,0.0,0.0
20130910,1.0,0.0,0.0,0.0,0.0,0.0
20130911,1.0,1.0,0.0,0.0,0.0,0.0
20130912,2.0,0.0,0.0,0.0,0.0,0.0
20130924,0.0,1.0,0.0,0.0,0.0,0.0
20130926,0.0,0.0,0.0,0.0,0.0,1.0
20131004,1.0,0.0,0.0,0.0,0.0,0.0
20131009,1.0,0.0,0.0,0.0,0.0,0.0
20131010,0.0,0.0,0.0,0.0,0.0,1.0
20131024,0.0,0.0,1.0,0.0,0.0,0.0
20131031,0.0,0.0,0.0,0.0,1.0,0.0
20131104,0.0,0.0,0.0,0.0,1.0,0.0
20131105,1.0,0.0,0.0,0.0,2.0,0.0
20131107,1.0,0.0,0.0,0.0,1.0,0.0
20131108,1.0,0.0,0.0,0.0,0.0,0.0
20131112,1.0,0.0,0.0,0.0,0.0,0.0
20131115,0.0,1.0,0.0,0.0,0.0,0.0
20131120,0.0,0.0,0.0,0.0,1.0,0.0
20131122,1.0,0.0,0.0,0.0,0.0,0.0
20131125,1.0,0.0,0.0,0.0,0.0,0.0
20131129,1.0,0.0,0.0,0.0,0.0,0.0
20131202,1.0,0.0,0.0,0.0,2.0,0.0
20131203,0.0,0.0,0.0,0.0,1.0,0.0
20131204,1.0,0.0,0.0,0.0,1.0,0.0
20131205,1.0,0.0,0.0,0.0,1.0,0.0
20131219,0.0,0.0,0.0,0.0,1.0,0.0
20140514,2.0,0.0,0.0,0.0,0.0,0.0
20140519,0.0,1.0,0.0,0.0,0.0,0.0
20140520,0.0,0.0,0.0,0.0,1.0,0.0
20140521,0.0,0.0,0.0,0.0,1.0,0.0
20140522,0.0,0.0,0.0,0.0,2.0,0.0
20140523,1.0,0.0,0.0,0.0,1.0,0.0
20140605,1.0,0.0,0.0,0.0,0.0,0.0
20140606,1.0,1.0,0.0,0.0,0.0,0.0
20140623,1.0,0.0,0.0,0.0,0.0,0.0
20140625,1.0,0.0,0.0,0.0,0.0,0.0
20140702,1.0,0.0,0.0,0.0,0.0,0.0
20140707,0.0,1.0,0.0,0.0,0.0,0.0
20140709,0.0,1.0,0.0,0.0,0.0,0.0
20140717,0.0,0.0,0.0,0.0,1.0,0.0
20140718,1.0,0.0,0.0,0.0,0.0,0.0
20140721,2.0,0.0,0.0,0.0,0.0,0.0
20140723,0.0,0.0,0.0,0.0,2.0,0.0
20140728,1.0,0.0,0.0,0.0,0.0,0.0
20140730,0.0,0.0,0.0,1.0,0.0,0.0
20140815,1.0,0.0,0.0,0.0,0.0,0.0
20140819,1.0,0.0,0.0,0.0,0.0,0.0
20140902,0.0,1.0,0.0,0.0,0.0,0.0
20140905,1.0,0.0,0.0,0.0,0.0,0.0
20140912,1.0,0.0,0.0,0.0,0.0,0.0
20141014,1.0,0.0,0.0,0.0,0.0,0.0
20141103,1.0,0.0,0.0,0.0,0.0,0.0
20141104,1.0,0.0,0.0,0.0,0.0,0.0
20141205,1.0,0.0,0.0,0.0,0.0,0.0
