date,Conflict,Disaster,Political,Water Insecurity
20130624,1.0,0.0,0.0,0.0
20130625,1.0,0.0,0.0,0.0
20130626,1.0,0.0,0.0,0.0
20130627,0.0,0.0,0.0,1.0
20130628,1.0,0.0,0.0,1.0
20130701,1.0,0.0,0.0,1.0
20130702,1.0,0.0,0.0,0.0
20130710,0.0,0.0,0.0,1.0
20130715,0.0,0.0,0.0,1.0
20130716,0.0,0.0,1.0,0.0
20130717,1.0,0.0,0.0,0.0
20130730,1.0,0.0,0.0,0.0
20130801,1.0,0.0,0.0,0.0
20130813,1.0,0.0,0.0,0.0
20130909,0.0,0.0,1.0,0.0
20130910,0.0,0.0,0.0,1.0
20130911,0.0,0.0,0.0,1.0
20130912,0.0,0.0,0.0,1.0
20130913,0.0,0.0,0.0,1.0
20130919,1.0,0.0,0.0,0.0
20130930,0.0,0.0,1.0,0.0
20131008,1.0,0.0,0.0,0.0
20131016,1.0,0.0,0.0,0.0
20131025,1.0,0.0,1.0,0.0
20131104,0.0,0.0,0.0,1.0
20131106,1.0,0.0,0.0,0.0
20131107,2.0,0.0,0.0,0.0
20131108,0.0,1.0,0.0,0.0
20131120,1.0,0.0,0.0,0.0
20131121,0.0,0.0,1.0,0.0
20131122,0.0,1.0,0.0,0.0
20131129,0.0,1.0,0.0,0.0
20131203,0.0,0.0,1.0,0.0
20131219,0.0,1.0,0.0,0.0
20131231,1.0,1.0,0.0,0.0
20140514,0.0,1.0,0.0,0.0
20140516,0.0,2.0,0.0,0.0
20140519,0.0,1.0,0.0,0.0
20140520,1.0,0.0,0.0,0.0
20140522,0.0,1.0,0.0,0.0
20140523,1.0,0.0,0.0,0.0
20140617,0.0,0.0,1.0,0.0
20140619,1.0,0.0,0.0,0.0
20140620,1.0,0.0,0.0,0.0
20140625,1.0,0.0,0.0,0.0
20140707,1.0,0.0,0.0,0.0
20140708,1.0,0.0,0.0,0.0
20140709,1.0,0.0,0.0,0.0
20140716,1.0,0.0,0.0,0.0
20140717,0.0,1.0,0.0,0.0
20140718,0.0,0.0,0.0,1.0
20140722,3.0,0.0,0.0,0.0
20140728,1.0,0.0,0.0,0.0
20140814,0.0,1.0,0.0,0.0
20140815,1.0,0.0,0.0,0.0
20140819,2.0,0.0,0.0,0.0
20140822,1.0,1.0,0.0,0.0
20140826,1.0,0.0,0.0,0.0
20140829,1.0,0.0,0.0,0.0
20140902,1.0,0.0,0.0,0.0
20140912,1.0,0.0,0.0,0.0
20140923,0.0,1.0,0.0,0.0
20140929,2.0,0.0,0.0,0.0
20141007,1.0,0.0,0.0,0.0
20141008,2.0,0.0,0.0,0.0
20141009,1.0,0.0,0.0,0.0
20141010,1.0,0.0,0.0,0.0
20141014,1.0,0.0,0.0,0.0
20141027,1.0,0.0,0.0,0.0
20141103,1.0,1.0,0.0,0.0
20141201,1.0,0.0,0.0,0.0
20141202,1.0,0.0,0.0,0.0
20141204,1.0,0.0,0.0,0.0
20141215,0.0,1.0,0.0,0.0
20141217,1.0,0.0,0.0,0.0
