date,Conflict,Disaster,Disease,Fund,Political/Social Unrest
20130626,0.0,1.0,0.0,0.0,0.0
20130910,0.0,1.0,0.0,0.0,0.0
20130911,1.0,0.0,0.0,0.0,0.0
20130926,0.0,1.0,0.0,0.0,0.0
20131008,1.0,0.0,0.0,0.0,0.0
20131106,1.0,0.0,0.0,0.0,0.0
20131111,1.0,0.0,0.0,0.0,0.0
20131115,1.0,0.0,0.0,0.0,0.0
20131120,1.0,0.0,0.0,0.0,0.0
20131121,0.0,1.0,0.0,0.0,0.0
20131202,1.0,0.0,0.0,0.0,0.0
20131203,1.0,0.0,0.0,0.0,0.0
20140514,1.0,0.0,0.0,0.0,0.0
20140516,1.0,0.0,0.0,0.0,0.0
20140519,0.0,0.0,0.0,0.0,1.0
20140521,0.0,0.0,0.0,0.0,1.0
20140522,1.0,0.0,0.0,0.0,0.0
20140523,0.0,0.0,1.0,0.0,0.0
20140605,0.0,0.0,0.0,0.0,1.0
20140624,1.0,0.0,0.0,0.0,0.0
20140728,1.0,0.0,0.0,0.0,0.0
20140822,0.0,1.0,0.0,0.0,0.0
20140912,1.0,0.0,0.0,0.0,0.0
20141007,0.0,0.0,1.0,0.0,0.0
20141010,0.0,0.0,0.0,1.0,0.0
20141016,1.0,0.0,0.0,0.0,0.0
20141020,1.0,0.0,0.0,0.0,0.0
20141021,0.0,0.0,0.0,0.0,1.0
20141201,0.0,1.0,0.0,0.0,0.0
20141204,0.0,1.0,0.0,0.0,0.0
20141212,1.0,0.0,0.0,0.0,0.0
20141231,0.0,0.0,0.0,0.0,1.0
