date,Conflict,Disaster,Fund,Political,Water Insecurity
20130625,1.0,0.0,0.0,0.0,0.0
20130626,1.0,0.0,0.0,0.0,0.0
20130701,1.0,0.0,0.0,0.0,0.0
20130711,1.0,0.0,0.0,0.0,0.0
20130712,0.0,0.0,1.0,0.0,0.0
20130715,1.0,0.0,0.0,0.0,1.0
20130716,0.0,0.0,0.0,1.0,0.0
20130717,1.0,0.0,0.0,0.0,0.0
20130725,1.0,0.0,0.0,0.0,0.0
20130729,1.0,0.0,0.0,0.0,0.0
20130731,1.0,0.0,0.0,0.0,0.0
20130801,1.0,0.0,0.0,0.0,0.0
20130809,1.0,0.0,0.0,0.0,0.0
20130812,1.0,0.0,0.0,0.0,0.0
20130814,2.0,0.0,0.0,0.0,0.0
20130906,1.0,0.0,0.0,0.0,0.0
20130909,2.0,0.0,0.0,0.0,0.0
20130911,0.0,1.0,0.0,0.0,0.0
20130912,0.0,1.0,0.0,0.0,0.0
20130913,0.0,0.0,0.0,0.0,1.0
20130919,0.0,1.0,0.0,0.0,0.0
20130920,1.0,0.0,0.0,0.0,0.0
20130923,1.0,0.0,0.0,0.0,0.0
20130924,1.0,0.0,0.0,0.0,0.0
20130927,1.0,0.0,0.0,0.0,0.0
20130930,2.0,0.0,0.0,0.0,0.0
20131011,2.0,0.0,0.0,0.0,0.0
20131016,1.0,0.0,0.0,0.0,0.0
20131018,1.0,0.0,0.0,0.0,0.0
20131023,1.0,1.0,0.0,0.0,0.0
20131024,2.0,0.0,0.0,0.0,0.0
20131025,2.0,0.0,0.0,0.0,0.0
20131030,1.0,0.0,0.0,0.0,0.0
20131031,2.0,0.0,0.0,0.0,0.0
20131104,1.0,1.0,0.0,0.0,0.0
20131105,1.0,0.0,0.0,0.0,0.0
20131107,1.0,0.0,0.0,0.0,1.0
20131108,0.0,1.0,0.0,0.0,0.0
20131111,1.0,0.0,0.0,0.0,0.0
20131112,1.0,0.0,0.0,0.0,0.0
20131113,0.0,0.0,0.0,1.0,0.0
20131118,1.0,0.0,0.0,0.0,0.0
20131119,1.0,0.0,0.0,1.0,0.0
20131121,0.0,1.0,0.0,0.0,0.0
20131125,1.0,0.0,0.0,0.0,0.0
20131202,2.0,0.0,0.0,0.0,0.0
20131205,1.0,0.0,0.0,0.0,0.0
20131230,2.0,0.0,0.0,0.0,0.0
20131231,1.0,0.0,0.0,0.0,0.0
20140514,0.0,1.0,0.0,0.0,0.0
20140516,1.0,0.0,0.0,0.0,0.0
20140519,1.0,0.0,0.0,0.0,0.0
20140520,2.0,0.0,0.0,0.0,0.0
20140521,2.0,0.0,0.0,0.0,0.0
20140605,2.0,0.0,0.0,0.0,0.0
20140616,2.0,0.0,0.0,0.0,0.0
20140617,0.0,0.0,0.0,1.0,0.0
20140623,2.0,0.0,0.0,0.0,0.0
20140702,2.0,0.0,0.0,0.0,0.0
20140707,1.0,0.0,0.0,0.0,0.0
20140709,0.0,2.0,0.0,0.0,0.0
20140710,2.0,0.0,0.0,0.0,0.0
20140716,1.0,0.0,0.0,1.0,0.0
20140718,1.0,0.0,0.0,0.0,0.0
20140721,1.0,0.0,0.0,0.0,0.0
20140722,1.0,0.0,0.0,0.0,0.0
20140723,0.0,0.0,0.0,1.0,0.0
20140728,1.0,0.0,0.0,0.0,0.0
20140805,1.0,0.0,0.0,0.0,0.0
20140807,1.0,0.0,0.0,0.0,0.0
20140813,2.0,0.0,0.0,0.0,0.0
20140819,0.0,0.0,0.0,1.0,0.0
20140822,1.0,0.0,0.0,0.0,0.0
20140825,1.0,1.0,0.0,0.0,0.0
20140826,1.0,0.0,0.0,0.0,0.0
20140827,0.0,0.0,0.0,1.0,0.0
20140828,1.0,0.0,0.0,0.0,0.0
20140902,2.0,0.0,0.0,0.0,0.0
20140905,0.0,0.0,0.0,1.0,0.0
20140908,1.0,0.0,0.0,0.0,0.0
20140909,1.0,0.0,0.0,0.0,0.0
20140910,1.0,0.0,0.0,0.0,0.0
20140911,1.0,0.0,0.0,0.0,0.0
20140912,0.0,0.0,0.0,1.0,0.0
20140919,2.0,0.0,0.0,1.0,0.0
20140923,1.0,0.0,0.0,1.0,0.0
20140929,2.0,0.0,0.0,1.0,0.0
20141008,0.0,1.0,0.0,0.0,0.0
20141009,2.0,1.0,0.0,0.0,0.0
20141010,0.0,0.0,0.0,1.0,0.0
20141014,1.0,0.0,0.0,0.0,0.0
20141015,1.0,0.0,0.0,0.0,0.0
20141016,1.0,0.0,0.0,0.0,0.0
20141020,4.0,0.0,0.0,0.0,0.0
20141021,1.0,0.0,0.0,0.0,0.0
20141027,1.0,0.0,0.0,0.0,0.0
20141103,2.0,0.0,0.0,1.0,0.0
20141105,3.0,0.0,0.0,0.0,0.0
20141114,0.0,0.0,0.0,1.0,0.0
20141117,1.0,0.0,0.0,0.0,0.0
20141125,1.0,0.0,0.0,0.0,0.0
20141127,2.0,0.0,0.0,0.0,0.0
20141201,0.0,1.0,0.0,0.0,0.0
20141202,1.0,0.0,0.0,0.0,0.0
20141203,1.0,0.0,0.0,0.0,0.0
20141204,1.0,0.0,0.0,0.0,0.0
20141205,0.0,0.0,0.0,1.0,0.0
20141208,1.0,0.0,0.0,0.0,0.0
20141211,1.0,1.0,0.0,0.0,0.0
20141212,0.0,1.0,0.0,0.0,0.0
20141215,1.0,0.0,0.0,0.0,0.0
20141217,2.0,0.0,0.0,0.0,0.0
20141218,0.0,1.0,0.0,0.0,0.0
20141231,1.0,0.0,0.0,0.0,0.0
