date,Conflict,Disaster,Disease,Fund,Political/Social Unrest,Water Insecurity
20130624,0.0,0.0,0.0,0.0,1.0,0.0
20130625,0.0,0.0,0.0,0.0,1.0,0.0
20130626,2.0,0.0,0.0,0.0,0.0,0.0
20130627,1.0,0.0,0.0,0.0,0.0,0.0
20130628,0.0,1.0,0.0,0.0,0.0,0.0
20130701,2.0,0.0,0.0,0.0,0.0,0.0
20130712,1.0,0.0,0.0,0.0,0.0,0.0
20130715,1.0,0.0,0.0,0.0,0.0,0.0
20130730,1.0,0.0,0.0,0.0,0.0,0.0
20130813,1.0,0.0,0.0,0.0,0.0,0.0
20130815,0.0,1.0,0.0,0.0,0.0,0.0
20130909,0.0,1.0,0.0,0.0,0.0,0.0
20130926,1.0,0.0,0.0,0.0,0.0,0.0
20131008,2.0,0.0,0.0,0.0,0.0,0.0
20131011,1.0,0.0,0.0,0.0,0.0,0.0
20131016,0.0,1.0,0.0,0.0,0.0,0.0
20131108,1.0,0.0,0.0,0.0,0.0,0.0
20131203,1.0,0.0,0.0,0.0,0.0,0.0
20131205,2.0,0.0,0.0,0.0,0.0,0.0
20140516,0.0,1.0,0.0,0.0,0.0,0.0
20140519,0.0,1.0,0.0,0.0,0.0,0.0
20140521,1.0,0.0,0.0,0.0,0.0,0.0
20140605,0.0,1.0,0.0,0.0,0.0,0.0
20140616,0.0,1.0,0.0,0.0,0.0,0.0
20140625,1.0,0.0,1.0,0.0,0.0,0.0
20140718,1.0,0.0,0.0,0.0,0.0,0.0
20140730,0.0,0.0,0.0,1.0,0.0,0.0
20140814,1.0,0.0,0.0,0.0,0.0,0.0
20140819,1.0,0.0,0.0,0.0,0.0,0.0
20140909,0.0,1.0,0.0,0.0,0.0,0.0
20141007,1.0,0.0,0.0,0.0,0.0,0.0
20141027,0.0,1.0,0.0,0.0,0.0,0.0
20141103,0.0,0.0,0.0,0.0,0.0,1.0
20141201,0.0,0.0,0.0,0.0,0.0,1.0
20141211,1.0,0.0,0.0,0.0,0.0,0.0
20141216,1.0,0.0,0.0,0.0,0.0,0.0
