date,Conflict,Disaster,Fund,Political/Social Unrest,Water Insecurity
20130627,1.0,0.0,0.0,0.0,0.0
20130809,1.0,0.0,0.0,0.0,0.0
20130827,1.0,0.0,0.0,0.0,0.0
20130906,0.0,0.0,0.0,1.0,0.0
20130919,1.0,0.0,0.0,0.0,0.0
20131008,1.0,0.0,0.0,0.0,0.0
20131017,0.0,0.0,0.0,0.0,1.0
20131104,1.0,0.0,0.0,0.0,0.0
20131105,1.0,0.0,0.0,0.0,0.0
20131106,1.0,0.0,0.0,0.0,0.0
20131118,1.0,0.0,0.0,0.0,0.0
20140520,1.0,0.0,0.0,0.0,0.0
20140522,0.0,1.0,0.0,0.0,0.0
20140606,1.0,0.0,0.0,0.0,0.0
20140623,1.0,0.0,0.0,0.0,0.0
20140905,0.0,0.0,1.0,0.0,0.0
20141016,0.0,0.0,0.0,1.0,0.0
20141031,1.0,0.0,0.0,0.0,0.0
20141205,0.0,0.0,0.0,1.0,0.0
20141208,1.0,0.0,0.0,0.0,0.0
