date,Conflict,Disaster,Disease,Food Insecurity,Fund,Political/Social Unrest,Water Insecurity
20130624,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130625,2.0,0.0,0.0,0.0,0.0,0.0,1.0
20130627,2.0,0.0,1.0,0.0,0.0,0.0,0.0
20130628,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20130701,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130711,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130712,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20130715,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20130716,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20130717,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130718,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130724,2.0,0.0,0.0,1.0,0.0,0.0,0.0
20130725,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20130726,1.0,0.0,0.0,0.0,0.0,1.0,0.0
20130729,4.0,0.0,0.0,0.0,0.0,0.0,0.0
20130730,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130731,1.0,2.0,0.0,0.0,0.0,0.0,0.0
20130801,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130809,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130812,3.0,1.0,0.0,0.0,0.0,0.0,0.0
20130813,2.0,2.0,0.0,0.0,0.0,0.0,0.0
20130814,0.0,4.0,0.0,0.0,0.0,0.0,3.0
20130815,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20130827,1.0,2.0,1.0,0.0,0.0,0.0,0.0
20130906,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20130909,2.0,0.0,0.0,0.0,0.0,0.0,2.0
20130910,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20130911,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130912,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20130913,1.0,3.0,0.0,0.0,0.0,0.0,0.0
20130916,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130919,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130920,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130926,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130927,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130930,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20131008,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20131009,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131010,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131011,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20131014,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20131016,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131017,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20131023,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20131024,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20131025,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20131030,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131031,3.0,1.0,1.0,0.0,0.0,0.0,0.0
20131104,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20131105,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20131106,1.0,2.0,0.0,0.0,0.0,0.0,0.0
20131107,4.0,0.0,0.0,0.0,0.0,0.0,0.0
20131108,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20131111,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131112,2.0,0.0,0.0,0.0,0.0,0.0,0.0
