date,Conflict,Disaster,Disease,Food Insecurity,Fund,Political/Social Unrest,Water Insecurity
20130624,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130626,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130627,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20130701,4.0,0.0,0.0,0.0,0.0,0.0,0.0
20130702,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130711,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130712,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130715,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130718,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130729,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130801,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20130809,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130812,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20130814,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130827,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20130905,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20130906,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130909,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130912,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130913,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20130923,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20130924,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20130930,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131004,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131014,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131016,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20131024,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131031,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131104,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131105,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131106,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131108,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131111,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131112,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131113,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20131115,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20131119,2.0,1.0,0.0,0.0,0.0,0.0,0.0
20131122,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131129,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20131202,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131205,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20131218,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140519,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140520,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140521,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140606,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20140619,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140707,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20140709,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20140716,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20140717,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20140722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20140728,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140801,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140804,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140806,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140812,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140813,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20140815,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140819,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20140829,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140902,4.0,0.0,0.0,0.0,0.0,0.0,0.0
20140908,2.0,1.0,0.0,0.0,0.0,0.0,0.0
20140909,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20140929,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141015,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20141016,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141103,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20141117,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141125,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20141203,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141204,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141208,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20141211,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141212,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20141215,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20141230,1.0,0.0,0.0,0.0,0.0,0.0,0.0
